# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
3.1219,0.0202,running,1,1.0000,1.0000,0.4108,0.4109,8467195,8704064,636.6198,635.9431,631,638,0.4109,-0.0000,0.0125,0.2000,,0,20.1709
3.1429,0.0200,running,1,1.0000,1.0000,0.4148,0.4150,8474811,8711721,636.6198,635.8064,631,638,0.4149,-0.0000,0.0150,0.2000,,0,20.0229
3.1622,0.0201,running,1,1.0000,1.0000,0.4189,0.4190,8482562,8719435,636.6198,635.9298,631,638,0.4189,-0.0000,0.0128,0.2000,,0,20.1493
3.1824,0.0202,running,1,1.0000,1.0000,0.4229,0.4230,8490279,8727155,636.6198,635.9198,631,638,0.4230,-0.0000,0.0129,0.2000,,0,20.2178
3.2024,0.0201,running,1,1.0000,1.0000,0.4269,0.4270,8497966,8734816,636.6198,636.0064,631,638,0.4270,-0.0000,0.0113,0.2000,,0,20.1093
3.2244,0.0200,running,1,1.0000,1.0000,0.4309,0.4310,8505594,8742443,636.6198,636.0098,631,638,0.4310,-0.0000,0.0113,0.2000,,0,19.9856
3.2479,0.0262,running,1,1.0000,1.0000,0.4362,0.4361,8515647,8752205,636.6198,636.9798,636,642,0.4362,-0.0000,-0.0067,0.2000,,0,26.2260
3.2679,0.0200,running,1,1.0000,1.0000,0.4402,0.4402,8523235,8759849,636.6198,636.7931,636,642,0.4402,-0.0000,-0.0032,0.2000,,0,19.9963
3.2882,0.0202,running,1,1.0000,1.0000,0.4442,0.4442,8530993,8767608,636.6198,636.7898,636,642,0.4442,-0.0000,-0.0031,0.2000,,0,20.1586
3.3116,0.0228,running,1,1.0000,1.0000,0.4488,0.4489,8539702,8776581,636.6198,635.9098,636,642,0.4489,-0.0000,0.0131,0.2000,,0,22.7630
3.3285,0.0177,running,1,1.0000,1.0000,0.4523,0.4523,8546367,8782992,636.6198,636.7564,636,642,0.4523,-0.0000,-0.0025,0.2000,,0,17.6836
3.3489,0.0204,running,1,1.0000,1.0000,0.4564,0.4563,8554198,8790785,636.6198,636.8831,636,642,0.4564,-0.0000,-0.0049,0.2000,,0,20.3926
3.3687,0.0199,running,1,1.0000,1.0000,0.4603,0.4603,8561742,8798374,636.6198,636.7331,636,642,0.4603,-0.0000,-0.0021,0.2000,,0,19.8870
