# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow
2.2613,0.0200,run,-4.0000,4.0000,-0.0101,-0.0000,0.0009,0.0091,29.4809,715.5480,678.9917,693.1426,1.0000,660,664,1,1,,1847,1847,20.0334,left,1
2.2814,0.0202,run,-4.0000,4.0000,-0.0102,-0.0000,0.0007,0.0095,28.4988,723.2254,687.3789,702.0743,1.0000,660,664,1,1,,1847,1847,20.1522,left,1
2.3015,0.0200,run,-4.0000,4.0000,-0.0103,-0.0000,0.0005,0.0098,27.6636,732.4702,697.2281,712.3850,1.0000,660,664,1,1,,1847,1847,20.0468,left,1
2.3219,0.0202,run,-4.0000,4.0000,-0.0104,-0.0000,0.0003,0.0101,26.9622,743.4362,708.6888,724.2592,1.0000,660,664,1,1,,1847,1847,20.2296,left,1
2.3418,0.0200,run,-3.0000,3.0000,-0.0079,-0.0000,0.0137,-0.0057,28.4855,755.9126,731.8680,722.9862,1.0000,660,664,1,1,,1847,1847,20.0497,left,1
2.3619,0.0201,run,-3.0000,3.0000,-0.0081,-0.0000,0.0097,-0.0017,29.0315,770.0057,742.2873,739.6613,1.0000,660,664,1,1,,1847,1847,20.0608,left,1
2.3819,0.0201,run,-3.0000,3.0000,-0.0082,-0.0000,0.0070,0.0012,28.9666,785.7267,755.7965,757.7239,1.0000,660,664,1,1,,1847,1847,20.0818,left,1
2.4079,0.0260,run,-3.0000,3.0000,-0.0084,-0.0000,0.0046,0.0038,28.3142,800.0000,768.7528,774.6188,1.0000,746,757,1,1,,823,1847,25.9892,left,1
2.4281,0.0202,run,-3.0000,3.0000,-0.0085,-0.0000,0.0033,0.0053,27.5774,800.0000,768.3534,776.4919,1.0000,746,757,1,1,,823,1847,20.2041,left,1
2.4481,0.0200,run,-3.0000,3.0000,-0.0085,-0.0000,0.0023,0.0062,26.7414,800.0000,768.4700,778.0472,1.0000,746,757,1,1,,823,1847,19.9642,left,1
2.4681,0.0201,run,-3.0000,3.0000,-0.0085,-0.0000,0.0017,0.0069,25.8696,800.0000,768.8261,779.4347,1.0000,746,757,1,1,,823,1847,20.0541,left,1
2.4883,0.0201,run,-3.0000,3.0000,-0.0085,-0.0000,0.0012,0.0073,25.0102,800.0000,769.3162,780.6634,1.0000,746,757,1,1,,823,1847,20.1457,left,1
2.5085,0.0202,run,-3.0000,3.0000,-0.0085,-0.0000,0.0008,0.0077,24.1953,800.0000,769.8677,781.7418,1.0000,746,757,1,1,,823,1847,20.1713,left,1
2.5286,0.0201,run,-3.0000,3.0000,-0.0085,-0.0000,0.0006,0.0079,23.4447,800.0000,770.4311,782.6796,1.0000,746,757,1,1,,823,1847,20.0898,left,1
2.5486,0.0200,run,-3.0000,3.0000,-0.0085,-0.0000,0.0004,0.0081,22.7636,800.0000,770.9788,783.4940,1.0000,746,757,1,1,,823,1847,20.0439,left,1
2.5687,0.0201,run,-3.0000,3.0000,-0.0085,-0.0000,0.0003,0.0082,22.1507,800.0000,771.4964,784.2022,1.0000,746,757,1,1,,823,1847,20.0888,left,1
2.5888,0.0201,run,-3.0000,3.0000,-0.0085,-0.0000,0.0002,0.0083,21.6045,800.0000,771.9745,784.8165,1.0000,746,757,1,1,,823,1847,20.1325,left,1
2.6089,0.0201,run,-3.0000,3.0000,-0.0085,-0.0000,0.0002,0.0084,21.1235,800.0000,772.4071,785.3460,1.0000,777,776,1,1,,1847,1847,20.0815,left,1
2.6292,0.0201,run,-2.0000,2.0000,-0.0057,-0.0000,0.0135,-0.0078,22.9099,800.0000,783.1548,771.0253,1.0000,777,776,1,1,,1847,1847,20.0998,left,1
2.6491,0.0201,run,-2.0000,2.0000,-0.0057,-0.0000,0.0096,-0.0040,23.5526,800.0000,779.5136,773.3812,1.0000,777,776,1,1,,1847,1847,20.0986,left,1
2.6692,0.0201,run,-6.0000,6.0000,-0.0170,-0.0000,-0.0468,0.0638,36.0295,800.0000,714.6037,813.3374,1.0000,777,776,1,2,,1847,1847,20.0634,left,1
2.6893,0.0201,run,-7.0000,7.0000,-0.0199,-0.0000,-0.0468,0.0667,47.5996,800.0000,700.8469,803.9539,1.0000,777,776,1,2,,1847,1847,20.1122,left,1
2.7092,0.0200,run,-7.0000,7.0000,-0.0199,-0.0000,-0.0334,0.0533,54.4136,800.0000,704.3655,786.8074,1.0000,777,776,1,2,,1847,1847,19.9903,left,1
2.7294,0.0202,run,-8.0000,8.0000,-0.0227,-0.0000,-0.0372,0.0599,62.0379,800.0000,691.6203,784.3038,1.0000,777,776,1,2,,1847,1847,20.1919,left,1
2.7496,0.0201,run,-8.0000,8.0000,-0.0227,-0.0000,-0.0265,0.0492,66.1014,800.0000,695.8198,771.9774,1.0000,777,776,1,2,,1847,1847,20.1485,left,1
2.7696,0.0201,run,-7.0000,7.0000,-0.0199,-0.0000,-0.0055,0.0254,63.9081,800.0000,716.4584,755.7254,1.0000,777,776,1,2,,1847,1847,20.0505,left,1
