# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
2.6357,0.0201,running,1,1.0000,1.0000,0.4433,0.4431,13910475,18392693,636.6198,637.7598,638,636,0.4432,-0.0002,-0.0211,0.2000,-0.0610,20.1383
2.6557,0.0200,running,1,1.0000,1.0000,0.4473,0.4471,13918125,18400316,636.6198,637.8498,638,636,0.4472,-0.0002,-0.0228,0.2000,-0.0610,20.0064
2.6762,0.0203,running,1,1.0000,1.0000,0.4514,0.4512,13925929,18408144,636.6198,637.7698,638,636,0.4513,-0.0002,-0.0213,0.2000,-0.0610,20.3418
2.6959,0.0199,running,1,1.0000,1.0000,0.4554,0.4552,13933500,18415735,636.6198,637.7031,638,636,0.4553,-0.0002,-0.0201,0.2000,-0.0610,19.8693
2.7162,0.0202,running,1,1.0000,1.0000,0.4594,0.4592,13941200,18423440,636.6198,637.6864,638,636,0.4593,-0.0002,-0.0198,0.2000,-0.0610,20.1577
2.7361,0.0200,running,1,1.0000,1.0000,0.4634,0.4632,13948903,18431115,636.6198,637.7798,638,636,0.4633,-0.0002,-0.0215,0.2000,-0.0610,20.0305
2.7562,0.0200,running,1,1.0000,1.0000,0.4674,0.4672,13956529,18438717,636.6198,637.8598,638,636,0.4673,-0.0002,-0.0230,0.2000,-0.0610,20.0169
2.7764,0.0203,running,1,1.0000,1.0000,0.4715,0.4713,13964300,18446507,636.6198,637.7964,638,636,0.4714,-0.0002,-0.0218,0.2000,-0.0610,20.2744
2.7964,0.0201,running,1,1.0000,1.0000,0.4755,0.4753,13971920,18454133,636.6198,637.7764,638,636,0.4754,-0.0002,-0.0214,0.2000,-0.0610,20.0516
2.8219,0.0254,running,1,1.0000,1.0000,0.4806,0.4804,13981698,18463903,636.6198,637.8031,634,640,0.4805,-0.0002,-0.0219,0.2000,-0.0610,25.3655
2.8419,0.0200,running,1,1.0000,1.0000,0.4846,0.4844,13989305,18471504,636.6198,637.8231,634,640,0.4845,-0.0002,-0.0223,0.2000,-0.0610,19.9963
2.8622,0.0203,running,1,1.0000,1.0000,0.4886,0.4885,13997081,18479277,636.6198,637.8331,634,640,0.4886,-0.0002,-0.0225,0.2000,-0.0610,20.2847
2.8821,0.0200,running,1,1.0000,1.0000,0.4926,0.4924,14004679,18486843,636.6198,637.9398,634,640,0.4925,-0.0002,-0.0244,0.2000,-0.0610,20.0238
2.9022,0.0201,running,1,1.0000,1.0000,0.4966,0.4964,14012300,18494508,636.6198,637.7931,634,640,0.4965,-0.0002,-0.0217,0.2000,-0.0610,20.0733
2.9224,0.0203,running,1,1.0000,1.0000,0.5007,0.5005,14020008,18502228,636.6198,637.7531,634,640,0.5006,-0.0002,-0.0210,0.2000,-0.0610,20.2921
2.9427,0.0201,running,1,1.0000,1.0000,0.5047,0.5045,14027726,18509983,636.6198,637.6298,634,640,0.5046,-0.0002,-0.0187,0.2000,-0.0610,20.0782
2.9627,0.0201,running,1,1.0000,1.0000,0.5087,0.5086,14035406,18517666,636.6198,637.6198,634,640,0.5086,-0.0002,-0.0185,0.2000,0.3662,20.0535
2.9827,0.0200,running,1,1.0000,1.0000,0.5127,0.5126,14043050,18525308,636.6198,637.6264,634,640,0.5126,-0.0002,-0.0186,0.2000,0.3662,19.9757
3.0030,0.0203,running,1,1.0000,1.0000,0.5168,0.5166,14050858,18533096,636.6198,637.6931,634,640,0.5167,-0.0002,-0.0199,0.2000,0.3662,20.2880
3.0289,0.0258,running,1,1.0000,1.0000,0.5220,0.5218,14060789,18542988,636.6198,637.8231,640,634,0.5219,-0.0002,-0.0223,0.2000,0.3662,25.8446
3.0487,0.0200,running,1,1.0000,1.0000,0.5260,0.5258,14068366,18550524,636.6198,637.9598,640,634,0.5259,-0.0002,-0.0248,0.2000,0.3662,19.9881
3.0689,0.0201,running,1,1.0000,1.0000,0.5300,0.5298,14076082,18558250,636.6198,637.9264,640,634,0.5299,-0.0002,-0.0242,0.2000,0.3662,20.1020
3.0890,0.0201,running,1,1.0000,1.0000,0.5340,0.5338,14083762,18565947,636.6198,637.8698,640,634,0.5339,-0.0002,-0.0231,0.2000,0.3662,20.0689
